index,ColorName
1,yellowgreen
2,very light grey
3,very dark brown
4,turquoise
5,true iris blue
6,summer sky
7,steelblue
8,springgreen
9,slategray
10,slateblue
11,slate blue
12,skyblue
13,sky blue
14,semi-sweet chocolate
15,seagreen
16,sandybrown
17,saddlebrown
18,royalblue
19,rosybrown
20,rich blue
21,powderblue
22,paleturquoise
23,palegreen
24,olivedrab
25,new tan
26,new midnight blue
27,neon blue
28,navyblue
29,navy blue
30,mintcream
31,midnightblue
32,midnight blue
33,mediumturquoise
34,mediumspringgreen
35,mediumslateblue
36,mediumseagreen
37,mediumblue
38,medium wood
39,medium turquoise
40,medium slate blue
41,limegreen
42,lightsteelblue
43,lightslategrey
44,lightslateblue
45,lightskyblue
46,lightseagreen
47,lightgray
48,lightcyan
49,lightblue
50,light wood
51,lawngreen
52,lavender
53,khaki
54,iris blue
55,hunter green 
56,greenyellow
57,free speech grey
58,free speech blue
59,forestgreen
60,dodgerblue
61,dim grey
62,deepskyblue
63,darkturquoise
64,darkslategray
65,darkslateblue
66,darkseagreen
67,darkolivegreen
68,darkkhaki
69,darkgreen
70,dark wood
71,dark turquoise
72,dark tan
73,dark slate grey
74,dark slate blue
75,dark olive green
76,dark green copper
77,dark green
78,dark brown
79,cornflowerblue
80,corn flower blue
81,chocolate
82,chartreuse
83,charcoal
84,cadetblue
85,cadet blue
86,burlywood
87,burgundy
88,blueviolet
89,beige
90,baker's chocolate
91,aquamarine
92,aliceblue
93,yellow
94,white
95,teal
96,sienna
97,purple
98,pink
99,orange
100,olive
101,navy
102,lime
103,green
104,cyan
105,cream
106,coral
107,brown
108,azure
109,tan
110,peru
111,grey
112,gray
113,blue
114,black
115,aqua
116,red
117,colorcolor
118,color color
